t,Z_real,Z_imag
3.303303303303303462e+00,-9.991322279460491673e-01,-4.165082327594685219e-02
3.353353353353353494e+00,-9.996707077900830463e-01,-2.566078694183826503e-02
3.403403403403403527e+00,-9.999495891251638513e-01,-1.004087687485558447e-02
3.453453453453453559e+00,-9.999864255406404334e-01,5.210444746191003791e-03
3.503503503503503591e+00,-9.997980734928495483e-01,2.009507999453105653e-02
3.553553553553553623e+00,-9.994007122968098233e-01,3.461526051655617470e-02
3.603603603603603656e+00,-9.988098639015980940e-01,4.877351507602401687e-02
3.653653653653653688e+00,-9.980404124202100213e-01,6.257263919715362610e-02
3.703703703703703720e+00,-9.971066233871916928e-01,7.601566678911061969e-02
3.753753753753754197e+00,-9.960221627198507788e-01,8.910584364042080374e-02
3.803803803803804229e+00,-9.948001153613713621e-01,1.018466026777630762e-01
3.853853853853854261e+00,-9.934530035866235842e-01,1.142415408891008788e-01
3.903903903903904293e+00,-9.919928049538510040e-01,1.262943978163359737e-01
3.953953953953954326e+00,-9.904309698877190593e-01,1.380090355276497316e-01
4.004004004004004358e+00,-9.887784388813907199e-01,1.493894199844147397e-01
4.054054054054054390e+00,-9.870456593073584362e-01,1.604396037220925386e-01
4.104104104104104422e+00,-9.852426018287013809e-01,1.711637097687796483e-01
4.154154154154154455e+00,-9.833787764042505319e-01,1.815659167291016063e-01
4.204204204204204487e+00,-9.814632478828005935e-01,1.916504449651614539e-01
4.254254254254254519e+00,-9.795046511830847180e-01,2.014215438097511357e-01
4.304304304304304551e+00,-9.775112060576253148e-01,2.108834797507068148e-01
4.354354354354354584e+00,-9.754907314398874041e-01,2.200405255285341477e-01
4.404404404404404616e+00,-9.734506593753434744e-01,2.288969500926325285e-01
4.454454454454454648e+00,-9.713980485381299435e-01,2.374570093644592927e-01
4.504504504504504681e+00,-9.693395973359471007e-01,2.457249377588360539e-01
4.554554554554554713e+00,-9.672816566067137245e-01,2.537049404173509770e-01
4.604604604604604745e+00,-9.652302419112811505e-01,2.614011861103345269e-01
4.654654654654654777e+00,-9.631910454271780386e-01,2.688178007664296376e-01
4.704704704704704810e+00,-9.611694474489922424e-01,2.759588615909969733e-01
4.754754754754754842e+00,-9.591705275015045551e-01,2.828283917369073808e-01
4.804804804804804874e+00,-9.571990750721695029e-01,2.894303554933089218e-01
4.854854854854854906e+00,-9.552595999699386997e-01,2.957686539599364561e-01
4.904904904904904939e+00,-9.533563423177556784e-01,3.018471211764495732e-01
4.954954954954954971e+00,-9.514932821863512080e-01,3.076695206780231673e-01
5.005005005005005003e+00,-9.496741488771923700e-01,3.132395424501516201e-01
5.055055055055055035e+00,-9.479024298626574918e-01,3.185608002571402864e-01
5.105105105105105068e+00,-9.461813793916333815e-01,3.236368293203756852e-01
