t,Re(zeta),Im(zeta)
-30.0,-0.120642287590044,0.583691214763706
-29.393939393939394,0.393267642301219,1.43876818922892
-28.78787878787879,1.50897330061296,1.68206857097199
-28.18181818181818,2.54109593629393,1.01960913566693
-27.575757575757574,2.82643808171297,-0.197913191140502
-26.96969696969697,2.20651888595043,-1.24799286321576
-26.363636363636363,1.10626250852813,-1.55601626364525
-25.757575757575758,0.200612073817083,-1.06029837268977
-25.151515151515152,-0.0460461888367708,-0.190699067092296
-24.545454545454547,0.358954644175359,0.468728982304158
-23.939393939393938,1.01318572041013,0.564244951352578
-23.333333333333332,1.42865800109674,0.152975453895259
-22.727272727272727,1.34265742464759,-0.396157638113412
-22.12121212121212,0.842770485778938,-0.671006899986577
-21.515151515151516,0.26734267292596,-0.465642297793392
-20.909090909090907,-0.0196094123165947,0.127563725811281
-20.303030303030305,0.169060869184781,0.803652436415713
-19.696969696969695,0.766844286175151,1.22813896363639
-19.09090909090909,1.51646896667314,1.20423878705184
-18.484848484848484,2.11260484965378,0.745563575300923
-17.87878787878788,2.34019545127524,0.0405726914471648
-17.272727272727273,2.147365984275,-0.650914106625355
-16.666666666666664,1.63709389264205,-1.108820426243
-16.060606060606062,1.00110560806241,-1.22422194049872
-15.454545454545453,0.436771442978998,-1.01345131837176
-14.848484848484848,0.0826208402007816,-0.585183262102528
-14.242424242424242,-0.00980193559986611,-0.0855927992078426
-13.636363636363637,0.131088886323709,0.353187049842256
-13.030303030303031,0.4259465639995,0.645476664407967
-12.424242424242422,0.779345864636454,0.761327282692983
-11.818181818181817,1.10804373641734,0.717600217330162
-11.212121212121211,1.3567743989632,0.559715613439099
-10.606060606060606,1.50165963461502,0.34246407139511
-10.0,1.54489522029675,0.115336465271273
-9.393939393939394,1.50538811420413,-0.0855884754130308
-8.787878787878789,1.40923070797526,-0.239761763907653
-8.18181818181818,1.28233236856917,-0.340186650198418
-7.575757575757574,1.14599846780492,-0.389475314462002
-6.969696969696969,1.01518225091525,-0.395623847604599
-6.363636363636363,0.89862171163809,-0.368505076185515
-5.757575757575758,0.799993021243002,-0.317453196307912
-5.151515151515152,0.719375680771026,-0.249882121421466
-4.545454545454543,0.654563018997665,-0.17064962924509
-3.9393939393939377,0.601945285630376,-0.0817880490599159
-3.333333333333332,0.556748411817795,0.017831943899716
-2.7272727272727266,0.512152038902851,0.133503575525797
-2.121212121212121,0.455500081896669,0.277508147507788
-1.5151515151515156,0.353424673829619,0.476105704330932
-0.9090909090909065,0.0786841422953546,0.773796857712374
-0.303030303030301,-0.922696527428373,0.863045108896268
0.30303030303030454,-0.922696527428364,-0.863045108896272
0.9090909090909101,0.0786841422953574,-0.773796857712372
1.5151515151515156,0.353424673829619,-0.476105704330932
2.1212121212121247,0.45550008189667,-0.277508147507787
2.7272727272727266,0.512152038902851,-0.133503575525797
3.3333333333333357,0.556748411817795,-0.0178319438997154
3.9393939393939377,0.601945285630376,0.0817880490599159
4.545454545454547,0.654563018997665,0.170649629245091
5.151515151515156,0.719375680771027,0.249882121421466
5.757575757575758,0.799993021243002,0.317453196307912
6.363636363636367,0.898621711638091,0.368505076185515
6.969696969696969,1.01518225091525,0.395623847604599
7.575757575757578,1.14599846780493,0.389475314462002
8.18181818181818,1.28233236856917,0.340186650198418
8.787878787878789,1.40923070797526,0.239761763907653
9.393939393939398,1.50538811420413,0.0855884754130297
10.0,1.54489522029675,-0.115336465271273
10.606060606060609,1.50165963461502,-0.342464071395111
11.212121212121211,1.3567743989632,-0.559715613439099
11.81818181818182,1.10804373641734,-0.717600217330163
12.424242424242422,0.779345864636454,-0.761327282692983
13.030303030303031,0.4259465639995,-0.645476664407967
13.63636363636364,0.131088886323708,-0.353187049842254
14.242424242424242,-0.00980193559986611,0.0855927992078426
14.848484848484851,0.0826208402007829,0.585183262102531
15.454545454545453,0.436771442978998,1.01345131837176
16.060606060606062,1.00110560806241,1.22422194049872
16.66666666666667,1.63709389264206,1.10882042624299
17.272727272727273,2.147365984275,0.650914106625355
17.878787878787882,2.34019545127524,-0.0405726914471691
18.484848484848484,2.11260484965378,-0.745563575300923
19.090909090909093,1.51646896667313,-1.20423878705184
19.696969696969695,0.766844286175151,-1.22813896363639
20.303030303030305,0.169060869184781,-0.803652436415713
20.909090909090914,-0.019609412316594,-0.127563725811273
21.515151515151516,0.26734267292596,0.465642297793392
22.121212121212125,0.842770485778942,0.671006899986577
22.727272727272727,1.34265742464759,0.396157638113412
23.333333333333336,1.42865800109674,-0.152975453895263
23.939393939393938,1.01318572041013,-0.564244951352578
24.545454545454547,0.358954644175359,-0.468728982304158
25.151515151515156,-0.0460461888367715,0.190699067092301
25.757575757575758,0.200612073817083,1.06029837268977
26.363636363636367,1.10626250852813,1.55601626364525
26.96969696969697,2.20651888595043,1.24799286321576
27.575757575757578,2.82643808171297,0.197913191140495
28.181818181818187,2.54109593629392,-1.01960913566694
28.78787878787879,1.50897330061296,-1.68206857097199
29.393939393939398,0.393267642301214,-1.43876818922891
30.0,-0.120642287590044,-0.583691214763706
