x,pi_x,psi_x
9.161161161161160749e+00,4.000000000000000000e+00,3.535941255466366062e+00
9.259259259259259522e+00,4.000000000000000000e+00,3.519019384234018499e+00
9.357357357357358296e+00,4.000000000000000000e+00,3.502434514465996518e+00
9.455455455455455294e+00,4.000000000000000000e+00,3.486175784213167095e+00
9.553553553553552291e+00,4.000000000000000000e+00,3.470232808293474580e+00
9.651651651651651065e+00,4.000000000000000000e+00,3.454595652013166429e+00
9.749749749749749839e+00,4.000000000000000000e+00,3.439254806622213056e+00
9.847847847847848612e+00,4.000000000000000000e+00,3.424201166371167115e+00
9.945945945945945610e+00,4.000000000000000000e+00,3.409426007048196983e+00
1.004404404404404438e+01,4.000000000000000000e+00,3.394920965885501296e+00
1.014214214214214138e+01,4.000000000000000000e+00,3.380678022733667909e+00
1.024024024024024015e+01,4.000000000000000000e+00,3.366689482411101331e+00
1.033833833833833715e+01,4.000000000000000000e+00,3.352947958143361884e+00
1.043643643643643593e+01,4.000000000000000000e+00,3.339446356014255546e+00
1.053453453453453470e+01,4.000000000000000000e+00,3.326177860356877236e+00
1.063263263263263170e+01,4.000000000000000000e+00,3.313135920018616787e+00
1.073073073073073047e+01,4.000000000000000000e+00,3.300314235439365529e+00
1.082882882882882924e+01,4.000000000000000000e+00,3.287706746486995346e+00
1.092692692692692624e+01,4.000000000000000000e+00,3.275307620998519909e+00
1.102502502502502502e+01,5.000000000000000000e+00,4.262164469141986878e+00
1.112312312312312201e+01,5.000000000000000000e+00,4.246491737360266860e+00
1.122122122122122079e+01,5.000000000000000000e+00,4.231069958978580736e+00
1.131931931931931956e+01,5.000000000000000000e+00,4.215892573972290336e+00
1.141741741741741656e+01,5.000000000000000000e+00,4.200953257055861201e+00
1.151551551551551533e+01,5.000000000000000000e+00,4.186245907094201968e+00
1.161361361361361233e+01,5.000000000000000000e+00,4.171764637087713723e+00
1.171171171171171110e+01,5.000000000000000000e+00,4.157503764694856940e+00
1.180980980980980988e+01,5.000000000000000000e+00,4.143457803258674410e+00
1.190790790790790687e+01,5.000000000000000000e+00,4.129621453306100420e+00
1.200600600600600565e+01,5.000000000000000000e+00,4.115989594491053616e+00
1.210410410410410442e+01,5.000000000000000000e+00,4.102557277954344883e+00
1.220220220220220142e+01,5.000000000000000000e+00,4.089319719075310999e+00
1.230030030030030019e+01,5.000000000000000000e+00,4.076272290591779424e+00
1.239839839839839719e+01,5.000000000000000000e+00,4.063410516066578992e+00
1.249649649649649596e+01,5.000000000000000000e+00,4.050730063680259896e+00
1.259459459459459474e+01,5.000000000000000000e+00,4.038226740331070985e+00
1.269269269269269174e+01,5.000000000000000000e+00,4.025896486024460152e+00
1.279079079079079051e+01,5.000000000000000000e+00,4.013735368535566117e+00
1.288888888888888928e+01,5.000000000000000000e+00,4.001739578329212677e+00
1.298698698698698628e+01,5.000000000000000000e+00,3.989905423722944100e+00
1.308508508508508505e+01,6.000000000000000000e+00,4.975692383098667904e+00
1.318318318318318205e+01,6.000000000000000000e+00,4.961282080381968385e+00
1.328128128128128083e+01,6.000000000000000000e+00,4.947060916452207913e+00
1.337937937937937960e+01,6.000000000000000000e+00,4.933024808628771574e+00
1.347747747747747660e+01,6.000000000000000000e+00,4.919169795386881816e+00
1.357557557557557537e+01,6.000000000000000000e+00,4.905492031810932296e+00
1.367367367367367237e+01,6.000000000000000000e+00,4.891987785253292920e+00
1.377177177177177114e+01,6.000000000000000000e+00,4.878653431187757405e+00
1.386986986986986992e+01,6.000000000000000000e+00,4.865485449247459293e+00
1.396796796796796691e+01,6.000000000000000000e+00,4.852480419437683601e+00
1.406606606606606569e+01,6.000000000000000000e+00,4.839635018514571563e+00
1.416416416416416446e+01,6.000000000000000000e+00,4.826946016521237226e+00
1.426226226226226146e+01,6.000000000000000000e+00,4.814410273473320956e+00
1.436036036036036023e+01,6.000000000000000000e+00,4.802024736186454312e+00
1.445845845845845723e+01,6.000000000000000000e+00,4.789786435238546858e+00
1.455655655655655600e+01,6.000000000000000000e+00,4.777692482060212242e+00
1.465465465465465478e+01,6.000000000000000000e+00,4.765740066147024834e+00
1.475275275275275177e+01,6.000000000000000000e+00,4.753926452387653434e+00
1.485085085085085055e+01,6.000000000000000000e+00,4.742248978502243695e+00
1.494894894894894755e+01,6.000000000000000000e+00,4.730705052585758352e+00
1.504704704704704632e+01,6.000000000000000000e+00,4.719292150751227766e+00
1.514514514514514509e+01,6.000000000000000000e+00,4.708007814868196306e+00
1.524324324324324209e+01,6.000000000000000000e+00,4.696849650391853537e+00
1.534134134134134086e+01,6.000000000000000000e+00,4.685815324278611804e+00
1.543943943943943964e+01,6.000000000000000000e+00,4.674902562984113885e+00
1.553753753753753664e+01,6.000000000000000000e+00,4.664109150539861304e+00
1.563563563563563541e+01,6.000000000000000000e+00,4.653432926704855532e+00
1.573373373373373241e+01,6.000000000000000000e+00,4.642871785188839695e+00
1.583183183183183118e+01,6.000000000000000000e+00,4.632423671943895371e+00
