spacing,zero_freq,prime_freq
3.698492462311557816e+00,1.210688244287961801e-06,3.670282409964492881e-03
3.718592964824120717e+00,1.012280272960225391e-06,3.539224316143530294e-03
3.738693467336683618e+00,8.454676922468992037e-07,3.413117218333967459e-03
3.758793969849246075e+00,7.053770523468224385e-07,3.291764269120076893e-03
3.778894472361808976e+00,5.878600837355928006e-07,3.174976811435345492e-03
3.798994974874371877e+00,4.893901409791510769e-07,3.062574024278792283e-03
3.819095477386934778e+00,4.069727377994788496e-07,2.954382584233877611e-03
3.839195979899497679e+00,3.380683646250384798e-07,2.850236342071246244e-03
3.859296482412060136e+00,2.805259955133694261e-07,2.749976013749249465e-03
3.879396984924623037e+00,2.325258837270222748e-07,2.653448885157527661e-03
3.899497487437185939e+00,1.925304165285109632e-07,2.560508529978881929e-03
3.919597989949748840e+00,1.592419519402395247e-07,2.471014540073280912e-03
3.939698492462311741e+00,1.315666951512921627e-07,2.384832267815082101e-03
3.959798994974874642e+00,1.085837916629569492e-07,2.301832579840734638e-03
3.979899497487437099e+00,8.951891973070114424e-08,2.221891621689056715e-03
4.000000000000000000e+00,7.372175763276400746e-08,2.144890592839997570e-03
