x,pi_x,li_x,error,bound
1.963040650040272521e+04,2.225000000000000000e+03,2.251259434062597393e+03,2.625943406259739277e+01,5.510540656361481382e+01
2.056512308348651641e+04,2.321000000000000000e+03,2.345596583406116224e+03,2.459658340611622407e+01,5.666751470676957325e+01
2.154434690031886566e+04,2.417000000000000000e+03,2.443963855663915638e+03,2.696385566391563771e+01,5.827262649267409955e+01
2.257019719633921341e+04,2.522000000000000000e+03,2.546535659089130604e+03,2.453565908913060412e+01,5.992190080732208912e+01
2.364489412645407356e+04,2.631000000000000000e+03,2.653494022568740547e+03,2.249402256874054729e+01,6.161652726474719799e+01
2.477076355991714081e+04,2.740000000000000000e+03,2.765028931151324741e+03,2.502893115132474122e+01,6.335772701146151320e+01
2.595024211399737396e+04,2.855000000000000000e+03,2.881338676440473591e+03,2.633867644047359136e+01,6.514675355173838511e+01
2.718588242732940125e+04,2.977000000000000000e+03,3.002630222515814694e+03,2.563022251581469391e+01,6.698489359427524903e+01
2.848035868435804878e+04,3.098000000000000000e+03,3.129119588073435807e+03,3.111958807343580702e+01,6.887346792078506041e+01
2.983647240283340216e+04,3.231000000000000000e+03,3.261032245508255983e+03,3.003224550825598271e+01,7.081383227707952699e+01
3.125715849688235176e+04,3.369000000000000000e+03,3.398603537693528779e+03,2.960353769352877862e+01,7.280737828722283211e+01
3.274549162877731578e+04,3.511000000000000000e+03,3.542079113246064935e+03,3.107911324606493508e+01,7.485553439134665155e+01
3.430469286314919009e+04,3.666000000000000000e+03,3.691715381101416824e+03,2.571538110141682409e+01,7.695976680773456735e+01
3.593813663804625685e+04,3.817000000000000000e+03,3.847779985259972364e+03,3.077998525997236356e+01,7.912158051979935180e+01
3.764935806792470976e+04,3.988000000000000000e+03,4.010552300603604181e+03,2.255230060360418065e+01,8.134252028859080497e+01
3.944206059437656222e+04,4.151000000000000000e+03,4.180323950722508016e+03,2.932395072250801604e+01,8.362417169148946527e+01
4.132012400115334458e+04,4.324000000000000000e+03,4.357399348734549676e+03,3.339934873454967601e+01,8.596816218775902030e+01
4.328761281083061476e+04,4.517000000000000000e+03,4.542096262122725420e+03,2.509626212272542034e+01,8.837616221164464037e+01
4.534878508128582325e+04,4.706000000000000000e+03,4.734746402662814944e+03,2.874640266281494405e+01,9.084988629372419666e+01
4.750810162102793402e+04,4.897000000000000000e+03,4.935696042561281502e+03,3.869604256128150155e+01,9.339109421123806953e+01
4.977023564332113892e+04,5.110000000000000000e+03,5.145306657973445908e+03,3.530665797344590828e+01,9.600159216813825935e+01
5.214008287999684399e+04,5.330000000000000000e+03,5.363955601124564964e+03,3.395560112456496427e+01,9.868323400561939707e+01
5.462277217684336938e+04,5.558000000000000000e+03,5.592036802311481551e+03,3.403680231148155144e+01,1.014379224439141467e+02
5.722367659350220492e+04,5.804000000000000000e+03,5.829961503119332519e+03,2.596150311933251942e+01,1.042676103561517778e+02
